,movieId,title,details
46,50,"Usual Suspects, The ","Crime|Mystery|Thriller,1995,mindfuck, Crime|Mystery|Thriller,1995,suspense, Crime|Mystery|Thriller,1995,thriller, Crime|Mystery|Thriller,1995,tricky, Crime|Mystery|Thriller,1995,twist ending, Crime|Mystery|Thriller,1995,heist"
47,52,Mighty Aphrodite ,"Comedy|Drama|Romance,1995,adoption, Comedy|Drama|Romance,1995,prostitution"
48,53,Lamerica ,"Adventure|Drama,1994,nan"
49,54,"Big Green, The ","Children|Comedy,1995,nan"
50,55,Georgia ,"Drama,1995,nan"
51,57,Home for the Holidays ,"Drama,1995,nan"
52,58,"Postman, The ","Comedy|Drama|Romance,Postino, Il (1994,writing"
53,60,"Indian in the Cupboard, The ","Adventure|Children|Fantasy,1995,nan"
54,61,Eye for an Eye ,"Drama|Thriller,1996,nan"
55,62,Mr. Holland's Opus ,"Drama,1995,music"
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,"Comedy|Crime,1996,nan"
57,64,Two if by Sea ,"Comedy|Romance,1996,nan"
58,65,Bio-Dome ,"Comedy,1996,nan"
59,66,Lawnmower Man 2: Beyond Cyberspace ,"Action|Sci-Fi|Thriller,1996,nan"
60,68,French Twist ,"Comedy|Romance,Gazon maudit (1995,nan"
61,69,Friday ,"Comedy,1995,nan"
62,70,From Dusk Till Dawn ,"Action|Comedy|Horror|Thriller,1996,nan"
63,71,Fair Game ,"Action,1995,nan"
64,72,Kicking and Screaming ,"Comedy|Drama,1995,nan"
65,73,"Misérables, Les ","Drama|War,1995,nan"
66,74,Bed of Roses ,"Drama|Romance,1996,nan"
67,75,Big Bully ,"Comedy|Drama,1996,nan"
68,76,Screamers ,"Action|Sci-Fi|Thriller,1995,nan"
69,77,Nico Icon ,"Documentary,1995,nan"
70,78,"Crossing Guard, The ","Action|Crime|Drama|Thriller,1995,nan"
71,79,"Juror, The ","Drama|Thriller,1996,nan"
72,80,"White Balloon, The ","Children|Drama,Badkonake sefid (1995,nan"
73,81,Things to Do in Denver When You're Dead ,"Crime|Drama|Romance,1995,nan"
74,82,Antonia's Line ,"Comedy|Drama,Antonia (1995,nan"
75,83,Once Upon a Time... When We Were Colored ,"Drama|Romance,1995,nan"
76,85,Angels and Insects ,"Drama|Romance,1995,nan"
77,86,White Squall ,"Action|Adventure|Drama,1996,nan"
78,87,Dunston Checks In ,"Children|Comedy,1996,nan"
79,88,Black Sheep ,"Comedy,1996,nan"
80,89,Nick of Time ,"Action|Thriller,1995,nan"
81,92,Mary Reilly ,"Drama|Horror|Thriller,1996,Jekyll and Hyde"
82,93,Vampire in Brooklyn ,"Comedy|Horror|Romance,1995,nan"
83,94,Beautiful Girls ,"Comedy|Drama|Romance,1996,nan"
84,95,Broken Arrow ,"Action|Adventure|Thriller,1996,nan"
85,96,In the Bleak Midwinter ,"Comedy|Drama,1995,theater"
86,97,Hate ,"Crime|Drama,Haine, La (1995,nan"
87,99,Heidi Fleiss: Hollywood Madam ,"Documentary,1995,nan"
88,100,City Hall ,"Drama|Thriller,1996,nan"
89,101,Bottle Rocket ,"Adventure|Comedy|Crime|Romance,1996,crime, Adventure|Comedy|Crime|Romance,1996,off-beat comedy, Adventure|Comedy|Crime|Romance,1996,quirky"
90,102,Mr. Wrong ,"Comedy,1996,nan"
91,103,Unforgettable ,"Mystery|Sci-Fi|Thriller,1996,nan"
92,104,Happy Gilmore ,"Comedy,1996,test tag, Comedy,1996,golf, Comedy,1996,Adam Sandler"
93,105,"Bridges of Madison County, The ","Drama|Romance,1995,nan"
94,106,Nobody Loves Me ,"Comedy|Drama,Keiner liebt mich (1994,nan"
95,107,Muppet Treasure Island ,"Adventure|Children|Comedy|Musical,1996,muppets"
96,108,Catwalk ,"Documentary,1996,nan"
97,110,Braveheart ,"Action|Drama|War,1995,beautiful scenery, Action|Drama|War,1995,epic, Action|Drama|War,1995,historical, Action|Drama|War,1995,inspirational, Action|Drama|War,1995,Medieval, Action|Drama|War,1995,mel gibson, Action|Drama|War,1995,Oscar (Best Cinematography), Action|Drama|War,1995,revenge, Action|Drama|War,1995,sword fight, Action|Drama|War,1995,Scotland"
98,111,Taxi Driver ,"Crime|Drama|Thriller,1976,assassination"
99,112,Rumble in the Bronx ,"Action|Adventure|Comedy|Crime,Hont faan kui (1995,nan"
100,113,Before and After ,"Drama|Mystery,1996,nan"
101,116,Anne Frank Remembered ,"Documentary,1995,Holocaust"
102,117,"Young Poisoner's Handbook, The ","Crime|Drama,1995,nan"
103,118,If Lucy Fell ,"Comedy|Romance,1996,nan"
104,119,"Steal Big, Steal Little ","Comedy,1995,nan"
105,121,"Boys of St. Vincent, The ","Drama,1992,nan"
106,122,Boomerang ,"Comedy|Romance,1992,dating"
107,123,Chungking Express ,"Drama|Mystery|Romance,Chung Hing sam lam (1994,nan"
108,125,Flirting With Disaster ,"Comedy,1996,nan"
109,126,"NeverEnding Story III, The ","Adventure|Children|Fantasy,1994,nan"
110,128,Jupiter's Wife ,"Documentary,1994,nan"
111,129,Pie in the Sky ,"Comedy|Romance,1996,nan"
112,132,Jade ,"Thriller,1995,nan"
113,135,Down Periscope ,"Comedy,1996,nan"
114,137,Man of the Year ,"Documentary,1995,nan"
115,140,Up Close and Personal ,"Drama|Romance,1996,journalism"
116,141,"Birdcage, The ","Comedy,1996,nan"
117,144,"Brothers McMullen, The ","Comedy,1995,nan"
118,145,Bad Boys ,"Action|Comedy|Crime|Drama|Thriller,1995,nan"
119,146,"Amazing Panda Adventure, The ","Adventure|Children,1995,nan"
120,147,"Basketball Diaries, The ","Drama,1995,addiction, Drama,1995,heroin, Drama,1995,Leonardo DiCaprio, Drama,1995,Mark Wahlberg"
121,148,"Awfully Big Adventure, An ","Drama,1995,nan"
122,149,Amateur ,"Crime|Drama|Thriller,1994,nan"
123,150,Apollo 13 ,"Adventure|Drama|IMAX,1995,moon, Adventure|Drama|IMAX,1995,NASA, Adventure|Drama|IMAX,1995,space"
124,151,Rob Roy ,"Action|Drama|Romance|War,1995,nan"
125,152,"Addiction, The ","Drama|Horror,1995,nan"
126,153,Batman Forever ,"Action|Adventure|Comedy|Crime,1995,superhero, Action|Adventure|Comedy|Crime,1995,superhero"
127,154,Beauty of the Day ,"Drama,Belle de jour (1967,nan"
128,155,Beyond Rangoon ,"Adventure|Drama|War,1995,nan"
129,156,Blue in the Face ,"Comedy|Drama,1995,nan"
130,157,Canadian Bacon ,"Comedy|War,1995,nan"
131,158,Casper ,"Adventure|Children,1995,nan"
132,159,Clockers ,"Crime|Drama|Mystery,1995,nan"
133,160,Congo ,"Action|Adventure|Mystery|Sci-Fi,1995,Michael Crichton"
134,161,Crimson Tide ,"Drama|Thriller|War,1995,submarine"
135,162,Crumb ,"Documentary,1994,In Netflix queue"
136,163,Desperado ,"Action|Romance|Western,1995,nan"
137,164,Devil in a Blue Dress ,"Crime|Film-Noir|Mystery|Thriller,1995,nan"
138,165,Die Hard: With a Vengeance ,"Action|Crime|Thriller,1995,nan"
139,166,"Doom Generation, The ","Comedy|Crime|Drama,1995,nan"
140,168,First Knight ,"Action|Drama|Romance,1995,nan"
141,169,Free Willy 2: The Adventure Home ,"Adventure|Children|Drama,1995,nan"
142,170,Hackers ,"Action|Adventure|Crime|Thriller,1995,nan"
143,171,Jeffrey ,"Comedy|Drama,1995,nan"
144,172,Johnny Mnemonic ,"Action|Sci-Fi|Thriller,1995,nan"
145,173,Judge Dredd ,"Action|Crime|Sci-Fi,1995,nan"
146,174,Jury Duty ,"Comedy,1995,nan"
147,175,Kids ,"Drama,1995,controversial, Drama,1995,New York City, Drama,1995,Nudity (Full Frontal)"
148,176,Living in Oblivion ,"Comedy,1995,nan"
149,177,Lord of Illusions ,"Horror,1995,nan"
150,178,Love & Human Remains ,"Comedy|Drama,1993,nan"
151,179,Mad Love ,"Drama|Romance,1995,nan"
152,180,Mallrats ,"Comedy|Romance,1995,nan"
153,181,Mighty Morphin Power Rangers: The Movie ,"Action|Children,1995,nan"
154,183,Mute Witness ,"Comedy|Horror|Thriller,1994,nan"
155,184,Nadja ,"Drama,1994,nan"
156,185,"Net, The ","Action|Crime|Thriller,1995,computers"
157,186,Nine Months ,"Comedy|Romance,1995,nan"
158,187,Party Girl ,"Comedy,1995,nan"
159,188,"Prophecy, The ","Fantasy|Horror|Mystery,1995,nan"
160,189,Reckless ,"Comedy|Fantasy,1995,nan"
161,190,Safe ,"Thriller,1995,nan"
162,191,"Scarlet Letter, The ","Drama|Romance,1995,nan"
163,193,Showgirls ,"Drama,1995,nan"
164,194,Smoke ,"Comedy|Drama,1995,nan"
165,195,Something to Talk About ,"Comedy|Drama|Romance,1995,nan"
166,196,Species ,"Horror|Sci-Fi,1995,nan"
167,198,Strange Days ,"Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995,nan"
168,199,"Umbrellas of Cherbourg, The ","Drama|Musical|Romance,Parapluies de Cherbourg, Les (1964,Made me cry"
169,201,Three Wishes ,"Drama|Fantasy,1995,nan"
170,202,Total Eclipse ,"Drama|Romance,1995,nan"
171,203,"To Wong Foo, Thanks for Everything! Julie Newmar ","Comedy,1995,nan"
172,204,Under Siege 2: Dark Territory ,"Action,1995,nan"
173,205,Unstrung Heroes ,"Comedy|Drama,1995,nan"
174,206,Unzipped ,"Documentary,1995,nan"
175,207,"Walk in the Clouds, A ","Drama|Romance,1995,nan"
176,208,Waterworld ,"Action|Adventure|Sci-Fi,1995,nan"
177,209,White Man's Burden ,"Drama,1995,nan"
178,210,Wild Bill ,"Western,1995,nan"
179,211,"Browning Version, The ","Drama,1994,nan"
180,212,Bushwhacked ,"Adventure|Comedy|Crime|Mystery,1995,nan"
181,213,Burnt by the Sun ,"Drama,Utomlyonnye solntsem (1994,nan"
182,214,Before the Rain ,"Drama|War,Pred dozhdot (1994,nan"
183,215,Before Sunrise ,"Drama|Romance,1995,generation X"
184,216,Billy Madison ,"Comedy,1995,school, Comedy,1995,Adam Sandler, Comedy,1995,stop looking at me swan"
185,217,"Babysitter, The ","Drama|Thriller,1995,nan"
186,218,Boys on the Side ,"Comedy|Drama,1995,nan"
187,219,"Cure, The ","Drama,1995,nan"
188,220,Castle Freak ,"Horror,1995,nan"
189,222,Circle of Friends ,"Drama|Romance,1995,Ireland"
190,223,Clerks ,"Comedy,1994,cynical, Comedy,1994,hilarious, Comedy,1994,independent film, Comedy,1994,quirky, Comedy,1994,witty, Comedy,1994,generation X"
191,224,Don Juan DeMarco ,"Comedy|Drama|Romance,1995,mental illness, Comedy|Drama|Romance,1995,psychology"
192,225,Disclosure ,"Drama|Thriller,1994,nan"
193,227,Drop Zone ,"Action|Thriller,1994,nan"
194,228,Destiny Turns on the Radio ,"Comedy,1995,nan"
195,229,Death and the Maiden ,"Drama|Thriller,1994,nan"
196,230,Dolores Claiborne ,"Drama|Thriller,1995,Stephen King"
197,231,Dumb & Dumber ,"Adventure|Comedy,Dumb and Dumber (1994,nan"
198,232,Eat Drink Man Woman ,"Comedy|Drama|Romance,Yin shi nan nu (1994,In Netflix queue"
199,233,Exotica ,"Drama,1994,nan"
200,234,Exit to Eden ,"Comedy,1994,nan"
201,235,Ed Wood ,"Comedy|Drama,1994,movie business"
202,236,French Kiss ,"Action|Comedy|Romance,1995,nan"
203,237,Forget Paris ,"Comedy|Romance,1995,basketball, Comedy|Romance,1995,France, Comedy|Romance,1995,infertility"
204,238,Far From Home: The Adventures of Yellow Dog ,"Adventure|Children,1995,nan"
205,239,"Goofy Movie, A ","Animation|Children|Comedy|Romance,1995,nan"
206,240,Hideaway ,"Thriller,1995,nan"
207,241,Fluke ,"Children|Drama,1995,nan"
208,242,Farinelli: il castrato ,"Drama|Musical,1994,nan"
209,243,Gordy ,"Children|Comedy|Fantasy,1995,nan"
210,246,Hoop Dreams ,"Documentary,1994,basketball"
211,247,Heavenly Creatures ,"Crime|Drama,1994,Australia"
212,248,Houseguest ,"Comedy,1994,bad, Comedy,1994,Sinbad"
213,249,Immortal Beloved ,"Drama|Romance,1994,Beethoven"
214,250,Heavyweights ,"Children|Comedy,Heavy Weights (1995,nan"
215,251,"Hunted, The ","Action,1995,nan"
216,252,I.Q. ,"Comedy|Romance,1994,Einstein"
217,253,Interview with the Vampire: The Vampire Chronicles ,"Drama|Horror,1994,nan"
218,254,Jefferson in Paris ,"Drama,1995,nan"
219,255,"Jerky Boys, The ","Comedy,1995,nan"
220,256,Junior ,"Comedy|Sci-Fi,1994,nan"
221,257,Just Cause ,"Mystery|Thriller,1995,court"
222,258,"Kid in King Arthur's Court, A ","Adventure|Children|Comedy|Fantasy|Romance,1995,nan"
223,259,Kiss of Death ,"Crime|Drama|Thriller,1995,nan"
224,260,Star Wars: Episode IV - A New Hope ,"Action|Adventure|Sci-Fi,1977,classic, Action|Adventure|Sci-Fi,1977,space action, Action|Adventure|Sci-Fi,1977,action, Action|Adventure|Sci-Fi,1977,sci-fi, Action|Adventure|Sci-Fi,1977,EPIC, Action|Adventure|Sci-Fi,1977,great soundtrack, Action|Adventure|Sci-Fi,1977,classic sci-fi, Action|Adventure|Sci-Fi,1977,engrossing adventure, Action|Adventure|Sci-Fi,1977,EPIC, Action|Adventure|Sci-Fi,1977,classic, Action|Adventure|Sci-Fi,1977,Nerd, Action|Adventure|Sci-Fi,1977,classic sci-fi, Action|Adventure|Sci-Fi,1977,space action, Action|Adventure|Sci-Fi,1977,space epic, Action|Adventure|Sci-Fi,1977,oldie but goodie, Action|Adventure|Sci-Fi,1977,sci-fi, Action|Adventure|Sci-Fi,1977,Star Wars, Action|Adventure|Sci-Fi,1977,ROBOTS AND ANDROIDS, Action|Adventure|Sci-Fi,1977,space, Action|Adventure|Sci-Fi,1977,classic sci-fi, Action|Adventure|Sci-Fi,1977,sci-fi, Action|Adventure|Sci-Fi,1977,space adventure, Action|Adventure|Sci-Fi,1977,Star Wars, Action|Adventure|Sci-Fi,1977,darth vader, Action|Adventure|Sci-Fi,1977,luke skywalker, Action|Adventure|Sci-Fi,1977,space opera"
225,261,Little Women ,"Drama,1994,Louisa May Alcott"
226,262,"Little Princess, A ","Children|Drama,1995,England, Children|Drama,1995,Girl Power, Children|Drama,1995,India"
227,263,Ladybird Ladybird ,"Drama,1994,nan"
228,265,Like Water for Chocolate ,"Drama|Fantasy|Romance,Como agua para chocolate (1992,nan"
229,266,Legends of the Fall ,"Drama|Romance|War|Western,1994,nan"
230,267,Major Payne ,"Comedy,1995,nan"
231,269,My Crazy Life ,"Drama,Mi vida loca (1993,nan"
232,270,Love Affair ,"Drama|Romance,1994,nan"
233,271,Losing Isaiah ,"Drama,1995,nan"
234,272,"Madness of King George, The ","Comedy|Drama,1994,England, Comedy|Drama,1994,mental illness"
235,273,Mary Shelley's Frankenstein ,"Drama|Horror|Sci-Fi,Frankenstein (1994,gothic"
236,274,Man of the House ,"Comedy,1995,nan"
237,275,Mixed Nuts ,"Comedy,1994,nan"
238,276,Milk Money ,"Comedy|Romance,1994,nan"
239,277,Miracle on 34th Street ,"Drama,1994,Christmas"
240,278,Miami Rhapsody ,"Comedy,1995,nan"
241,279,My Family ,"Drama,1995,In Netflix queue"
242,280,Murder in the First ,"Drama|Thriller,1995,prison"
243,281,Nobody's Fool ,"Comedy|Drama|Romance,1994,nan"
244,282,Nell ,"Drama,1994,disability, Drama,1994,twins"
245,283,New Jersey Drive ,"Crime|Drama,1995,nan"
246,284,New York Cop ,"Action|Crime,Nyû Yôku no koppu (1993,nan"
247,285,Beyond Bedlam ,"Drama|Horror,1993,nan"
248,287,Nina Takes a Lover ,"Comedy|Romance,1994,nan"
249,288,Natural Born Killers ,"Action|Crime|Thriller,1994,brutality, Action|Crime|Thriller,1994,controversial, Action|Crime|Thriller,1994,dark comedy, Action|Crime|Thriller,1994,psychedelic, Action|Crime|Thriller,1994,satire, Action|Crime|Thriller,1994,stylized"
250,289,Only You ,"Comedy|Romance,1994,nan"
251,290,Once Were Warriors ,"Crime|Drama,1994,In Netflix queue"
252,291,Poison Ivy II ,"Drama|Thriller,1996,nan"
253,292,Outbreak ,"Action|Drama|Sci-Fi|Thriller,1995,nan"
254,293,Léon: The Professional ,"Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,assassin, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,Jean Reno, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,hit men, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,Action, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,assassin, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,assassination, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,assassins, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,awkward romance, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,corruption, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,crime, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,disturbing, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,drama, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,French, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,friendship, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,Gary Oldman, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,great acting, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,Guns, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,hit men, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,hitman, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,humorous, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,imdb top 250, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,Jean Reno, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,Lolita theme, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,loneliness, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,love story, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,Luc Besson, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,Natalie Portman, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,organized crime, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,police, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,police corruption, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,quirky, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,sniper, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,tense, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,touching, Action|Crime|Drama|Thriller,a.k.a. The Professional (Léon (1994,unique"
255,294,"Perez Family, The ","Comedy|Romance,1995,nan"
256,295,"Pyromaniac's Love Story, A ","Comedy|Romance,1995,nan"
